date,season,neutral,playoff,team1,team2,passingAtt_Adv,passingYdsG_Adv,passingQBR_Adv,rushingAtt_Adv,rushingYdsG_Adv,totteam1_Adv,totteam2_Adv,elo1,elo2,elo_prob1,score1,score2,result1,passingteam1Comp,passingteam1Att,passingteam1Pct,passingteam1Yds,passingteam1Avg,passingteam1Yds/G,passingteam1TD,passingteam1Int,passingteam1QBR,passingteam1Lng,passingteam2Comp,passingteam2Att,passingteam2Pct,passingteam2Yds,passingteam2Avg,passingteam2Yds/G,passingteam2TD,passingteam2Int,passingteam2QBR,passingteam2Lng,rushingAttteam1,rushingYdsteam1,rushingAvgteam1,rushingYds/Gteam1,rushingTDteam1,rushingBigteam1,rushingFumteam1,rushingFumLteam1,rushingAttteam2,rushingYdsteam2,rushingAvgteam2,rushingYds/Gteam2,rushingTDteam2,rushingBigteam2,rushingFumteam2,rushingFumLteam2,team1RushingRank,team1PassingRank,team2RushingRank,team2PassingRank,winPassingRank,winRushingRank
9/29/2002,2002,0,0,2002ARZ,2002NYG,1,1,1,1,1,0,5,1426.571,1511.918,0.470751743,21,7,0,291,548,0.531,2740,5,171.3,18,22,63.7,80,338,549,0.616,3951,7.2,246.9,19,14,85.4,82,414,1823,4.4,113.9,10,53,16,9,486,1875,3.9,117.2,14,47,15,7,15,29,14,6,15,29
9/29/2002,2002,0,0,2002CIN,2002TB,0,0,1,0,0,4,1,1338.258,1583.968,0.261101686,7,35,1,350,591,0.592,3476,5.9,217.3,17,22,71.8,72,348,567,0.614,3445,6.1,215.3,23,10,86.3,76,426,1730,4.1,108.1,13,37,7,3,414,1557,3.8,97.3,6,37,6,4,21,13,27,15,27,15
9/29/2002,2002,0,0,2002BUF,2002CHI,0,0,1,0,0,4,1,1416.465,1550.583,0.401822955,33,27,0,377,612,0.616,3995,6.5,249.7,24,15,86,73,310,543,0.571,3051,5.6,190.7,22,18,74.8,76,388,1596,4.1,99.8,17,47,14,8,382,1344,3.5,84,8,30,14,8,24,5,32,24,24,5
9/29/2002,2002,0,0,2002LAR,2002DAL,0,0,1,1,1,2,3,1572.607,1414.644,0.783041261,10,13,1,408,635,0.643,4154,6.5,259.6,24,27,79.9,58,252,471,0.535,2621,5.6,163.8,14,16,69.1,80,343,1405,4.1,87.8,11,40,9,7,423,1754,4.1,109.6,7,63,6,3,30,2,19,31,19,31
9/30/2002,2002,0,0,2002BAL,2002DEN,1,1,1,1,1,0,5,1508.861,1568.179,0.508176326,34,23,0,262,479,0.547,2847,5.9,177.9,20,14,76.5,77,359,554,0.648,3824,6.9,239,21,20,84.8,82,427,1792,4.2,112,9,43,13,8,457,2266,5,141.6,21,55,11,5,16,27,5,8,16,27
10/6/2002,2002,0,0,2002NO,2002PIT,1,1,1,1,1,0,5,1516.266,1557.855,0.53364024,32,29,0,291,538,0.541,3441,6.4,215.1,27,15,80.8,64,350,551,0.635,3832,7,239.5,26,22,84.6,72,426,1764,4.1,110.3,16,45,9,4,512,2120,4.1,132.5,15,64,9,5,17,16,9,7,17,16
10/6/2002,2002,0,0,2002MIA,2002NE,1,1,0,0,0,3,2,1558.035,1641.099,0.474027213,26,13,0,271,455,0.596,2890,6.4,180.6,18,15,79.3,77,374,605,0.618,3577,5.9,223.6,28,14,85.3,49,530,2502,4.7,156.4,24,81,13,9,395,1508,3.8,94.3,9,32,9,3,2,26,28,12,2,26
10/6/2002,2002,0,0,2002JAX,2002PHI,1,1,0,1,1,1,4,1520.536,1646.954,0.412521717,28,25,0,268,462,0.58,2762,6,172.6,18,9,82.5,79,318,548,0.58,3384,6.2,211.5,27,11,85.9,59,455,2089,4.6,130.6,19,61,5,4,489,2220,4.5,138.8,15,57,11,4,10,28,7,19,10,28
10/6/2002,2002,0,0,2002SF,2002LAR,1,1,0,0,0,3,2,1557.259,1548.448,0.604652854,37,13,0,354,571,0.62,3457,6.1,216.1,23,10,86,76,408,635,0.643,4154,6.5,259.6,24,27,79.9,58,489,2244,4.6,140.3,16,62,6,5,343,1405,4.1,87.8,11,40,9,7,6,14,30,2,6,14
10/6/2002,2002,0,0,2002TEN,2002WSH,1,0,1,0,0,3,2,1470.808,1480.301,0.579208237,14,31,1,306,500,0.612,3320,6.6,207.5,22,15,83.9,55,300,559,0.537,3254,5.8,203.4,24,20,72.5,62,511,1952,3.8,122,16,53,6,3,442,1889,4.3,118.1,10,58,10,8,11,20,13,21,13,21
10/6/2002,2002,0,0,2002DAL,2002NYG,1,1,1,1,1,0,5,1438.803,1482.986,0.529922273,17,21,1,252,471,0.535,2621,5.6,163.8,14,16,69.1,80,338,549,0.616,3951,7.2,246.9,19,14,85.4,82,423,1754,4.1,109.6,7,63,6,3,486,1875,3.9,117.2,14,47,15,7,19,31,14,6,14,6
10/6/2002,2002,0,0,2002NYJ,2002KC,0,1,1,1,1,1,4,1469.956,1489.501,0.565044316,25,29,1,329,485,0.678,3418,7.1,213.6,25,10,98.3,47,292,477,0.612,3622,7.6,226.4,27,13,93.5,99,400,1618,4,101.1,12,49,5,2,462,2378,5.1,148.6,26,73,3,1,22,17,3,11,3,11
